multiplier,cor_min,cor_max,cor_mean,cor_median,cor_EL,cor_EG,cor_EA,cor_LG,cor_LA,cor_GA,E_mean,E_sd,E_min,E_max,L_mean,L_sd,L_min,L_max,G_mean,G_sd,G_min,G_max,A_mean,A_sd,A_min,A_max,mean_diff_EL,mean_diff_EG,mean_diff_EA,max_diff,n_valid
29,0.920844624429589,0.9909091351158075,0.9588715640760141,0.9647295096435915,0.920844624429589,0.926495070663658,0.9556006619995446,0.9738583572876383,0.9909091351158075,0.9855215349598474,0.8368143678670812,0.24303279612815373,0.21313041672616745,1,0.8467069808674431,0.23586208279920337,0.25599320679437587,1,0.9010635920915492,0.14978401793659382,0.5347341937627461,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04216839538060758,0.07014541301172235,0.04852020977135161,0.4716695316791493,86
30,0.9207584548700197,0.9909015081373925,0.9588268267875826,0.9646950196419176,0.9207584548700197,0.9264043384229715,0.9555535449213971,0.9738364943624381,0.9909015081373925,0.9855066200112765,0.8366110170069005,0.2433445802409509,0.21206936064101883,1,0.8466354817609687,0.23597660596182307,0.25564308913708966,1,0.9010434019799202,0.14982003143282804,0.5346158962977896,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.042291281774923764,0.07032047844052795,0.04869322548578542,0.4726897956129163,86
31,0.9206776742136848,0.990894361699551,0.9587848827679071,0.9646626768115376,0.9206776742136848,0.9263192736662383,0.9555093467223599,0.9738160069007152,0.990894361699551,0.9854926334048928,0.8364199904412704,0.2436374802168053,0.2110726109848482,1,0.8465684865352195,0.23608391664279368,0.25531502613554474,1,0.901024483686339,0.14985377905198713,0.5344932424194591,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04240677719161716,0.07048495959811292,0.04885575539936439,0.47364832270205437,86
32,0.920601792293963,0.9908876517822958,0.9587454783586973,0.9646322867270201,0.920601792293963,0.9262393615092845,0.9554678043855109,0.9737967690685291,0.9908876517822958,0.9854794911126004,0.8362402007324438,0.24391316124860865,0.21013449366112907,1,0.8465055826209656,0.2361846753856123,0.25500699751554357,1,0.9010067207084,0.14988546811486378,0.5343067791613751,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04251552873613505,0.07063978810094118,0.04900872472977809,0.47455055166131693,86
33,0.9205303766383021,0.9908813395820009,0.9587083897092705,0.9646036777453607,0.9205303766383021,0.9261641475976422,0.9554286855648081,0.9737786699259133,0.9908813395820009,0.9854671189469568,0.8360706847212654,0.24417309834283493,0.20924998304227982,1,0.8464464063460695,0.23627946446368864,0.25471722244347317,1,0.9009900103513736,0.14991528139874416,0.5341313655775544,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.042618110139291954,0.07078578935864323,0.049152952955594756,0.47540130063359254,86
34,0.9204630442229318,0.9908753907611398,0.9586734185235299,0.9645766977643713,0.9204630442229318,0.9260932294663647,0.9553917842421092,0.9737616112866332,0.9908753907611398,0.9854554511620005,0.8359105862662728,0.24441860271731206,0.2084146119015608,1,0.8463906358999438,0.23636879913985312,0.2544441250731623,1,0.9009742617415085,0.1499433806649309,0.533966047739719,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.042715031866960566,0.07092369728810381,0.04928916850220181,0.4762048532440211,86
35,0.920399454602344,0.9908697748237826,0.9586403885149959,0.9645512115192962,0.920399454602344,0.926026249339089,0.955356917101798,0.9737455059367943,0.9908697748237826,0.9854444292861673,0.835759141781805,0.24465084392114436,0.20762439595843507,1,0.8463379854787845,0.2364531370365558,0.2541863058777658,1,0.90095939417275706,0.14996990959483708,0.5338099784521418,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04280674960372511,0.07105416664750104,0.0494180210462903,0.47696503071457197,86
36,0.9203398072541779,0.9908646753434047,0.9586092869679694,0.9645271749867648,0.9203398072541779,0.925962888093054,0.9553239204878415,0.9737304294856879,0.9908646753434047,0.9854340011436504,0.835615668059673,0.24487086846409017,0.20687577032731547,1,0.8462880888590161,0.23653291926136433,0.25394251765914577,1,0.9009453357234016,0.14999499624730367,0.5336624027315897,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.042893559879624184,0.07117778342754313,0.04954009187754123,0.4776852526199093,86
37,0.9202848457519678,0.9908604841147614,0.9585802621061478,0.9645046312820642,0.9202848457519678,0.9259028601766778,0.9552926478377783,0.9737166147263501,0.9908604841147614,0.9854241200293515,0.8354795519643228,0.24507961558163383,0.20616553575466384,1,0.8462404811825242,0.23660859332616122,0.25371164537226254,1,0.9009320220925469,0.15001875512575405,0.533522645591973,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.04297559203788857,0.07129507364794697,0.04965590266616482,0.47836858829989376,86
38,0.9202327098931896,0.9908565088230291,0.9585527251835251,0.964483239532753,0.9202327098931896,0.925845909308946,0.9552629675083367,0.973703511557169,0.9908565088230291,0.9854147440104799,0.8353502416737706,0.24527793063677342,0.20549081291029442,1,0.8461953254518141,0.23668036765721115,0.25349268907433975,1,0.9009193956168374,0.15004128892543675,0.5333901017240212,1,0.8742391271224477,0.18854508304330406,0.4118590681555782,1,0.043053543371685765,0.07140651083729528,0.04976592291531997,0.4790178005816273,86
