obs_id,market_pig,market_pig_original,log_scale,size_class,Report_year,Scale-up,No.,E_TE_VRS,E_TE_CRS,E_SE,L_TE_VRS,L_TE_CRS,L_SE,G_TE_VRS,G_TE_CRS,G_SE,A_TE_VRS,A_TE_CRS,A_SE,Meta_TE_VRS,Meta_TE_CRS,Meta_Source,E_TGR_VRS,E_TGR_CRS,L_TGR_VRS,L_TGR_CRS,G_TGR_VRS,G_TGR_CRS,A_TGR_VRS,A_TGR_CRS
21,0.5283018867924528,7000,3.845098040014257,Small,2021,0,F30,1,0.5366314170866383,0.5366314170866383,1,0.6811051594614971,0.6811051594614971,1,0.8084004011114315,0.8084004011114315,1,0.7022934978055221,0.7022934978055221,1,0.8084004011114315,E,1,0.6638188406992984,1,0.8425344155261152,1,1,1,0.8687446181866955
22,0.5283018867924528,7000,3.845098040014257,Small,2023,1,F4,1,0.8095411432364096,0.8095411432364096,1,0.7560909787376918,0.7560909787376918,1,0.8017361389787911,0.8017361389787911,1,0.7944559485609098,0.7944559485609098,1,0.8095411432364096,E,1,1,1,0.9339747399557322,1,0.9903587305934627,1,0.9813657467547706
23,0.5735849056603773,7600,3.8808135922807914,Small,2024,0,F47,1,0.5962946475465347,0.5962946475465347,1,0.6167639955212815,0.6167639955212815,1,0.7054486976278397,0.7054486976278397,1,0.639598332586226,0.639598332586226,1,0.7054486976278397,E,1,0.8452700381355168,1,0.874286106977344,1,1,1,0.9066546365978931
24,0.5886792452830188,7800,3.8920946026904804,Small,2018,0,F50,0.4921266629287556,0.36568599213726016,0.7430729112724379,0.5388631071567889,0.33471672209533443,0.6211535316667067,0.8233438180461076,0.6816550991027395,0.8279106299970622,0.6661759485475598,0.4965371516103113,0.7453543657541134,0.8233438180461076,0.6816550991027395,G,0.5977170802066997,0.5364677717787361,0.6544812693627492,0.49103530881808266,1,1,0.8091102816906723,0.7284287204245984
25,0.6037735849056604,8000,3.9030899869919438,Small,2020,N/A,F5,1,0.5565274169027765,0.5565274169027765,0.9999999999994377,0.6181216389471702,0.6181216389475178,1,0.8420805998941772,0.8420805998941772,1,0.7025368570982093,0.7025368570982093,1,0.8420805998941772,E,1,0.660895663636847,0.9999999999994377,0.7340409445661715,1,1,1,0.8342869520880732
26,0.6037735849056604,8000,3.9030899869919438,Small,2025,N/A,F7,0.9999999999994377,0.4150383434016005,0.4150383434018339,1,0.5029461817352254,0.5029461817352254,1,0.6974833348288675,0.6974833348288675,1,0.6084882937621234,0.6084882937621234,1,0.6974833348288675,L,0.9999999999994377,0.5950512688642706,1,0.7210870233317143,1,1,1,0.8724054946938917
27,0.6792452830188679,9000,3.9542425094393248,Small,2024,1,F12,0.9999999999999561,0.44078447397169007,0.4407844739717094,0.9999999999999565,0.49372498112592256,0.49372498112594404,1,0.7058214029190922,0.7058214029190922,0.9999999999999566,0.592687854826638,0.5926878548266638,1,0.7058214029190922,G,0.9999999999999561,0.6244985943309753,0.9999999999999565,0.69950412254999,1,1,0.9999999999999566,0.8397136334707852
28,0.6792452830188679,9000,3.9542425094393248,Small,2025,1,F9,1,0.5122527105205505,0.5122527105205505,1,0.5709234516320454,0.5709234516320454,1,0.8169618798729834,0.8169618798729834,1,0.6690427768180475,0.6690427768180475,1,0.8169618798729834,E,1,0.6270215577257934,1,0.6988373211744094,1,1,1,0.8189400182565023
29,0.6792452830188679,9000,3.9542425094393248,Small,2025,N/A,F8,0.7815653802083167,0.3528812795173342,0.45150577092255295,0.838814272965817,0.3458412102380029,0.4122977176046413,0.8679932479272766,0.6672167061739764,0.7686888207566772,0.8486988493180261,0.49326741420543146,0.5812042924316413,0.8679932479272766,0.6672167061739764,G,0.9004279492664888,0.5288855573489202,0.966383407899615,0.518334158958881,1,1,0.9777712572588271,0.7392911622881521
30,0.6943396226415094,9200,3.963787827345555,Small,2020,1,F1,0.999999999999535,0.999999999999535,1,0.9999999999995347,0.9999999999995347,1,0.999999999999535,1,1.000000000000465,0.999999999999535,0.9999999999995347,0.9999999999999997,0.999999999999535,1,E,1,0.999999999999535,0.9999999999999997,0.9999999999995347,1,1,1,0.9999999999995347
31,0.6943396226415094,9200,3.963787827345555,Small,2024,0,F27,0.999999999999535,0.999999999999535,1,0.999999999999535,0.999999999999535,1,1,0.999999999999535,0.999999999999535,1,0.999999999999535,0.999999999999535,1,0.999999999999535,G,0.999999999999535,1,0.999999999999535,1,1,1,1,1
32,0.7175849056603774,9508,3.9780891730561425,Small,2025,N/A,F10,1,0.5595832600085333,0.5595832600085333,1,0.7295496106498529,0.7295496106498529,1,0.8656879105577577,0.8656879105577577,1,0.743246219355323,0.743246219355323,1,0.8656879105577577,E,1,0.6464029971817408,1,0.842739746913883,1,1,1,0.8585613941130975
33,0.7547169811320755,10000,4,Medium,2018,0,F53,1,0.5733653721616998,0.5733653721616998,1,0.35414772300376096,0.35414772300376096,1,0.520189625572028,0.520189625572028,1,0.45826386754550175,0.45826386754550175,1,0.5733653721616998,E,1,1,1,0.6176650007107242,1,0.9072567874317403,1,0.799252779807328
34,0.7547169811320755,10000,4,Medium,2021,N/A,F35,1,0.7777410271525647,0.7777410271525647,1,0.6027769709635631,0.6027769709635631,1,0.8465372866146725,0.8465372866146725,1,0.7468936882131774,0.7468936882131774,1,0.8465372866146725,E,1,0.9187321568111594,1,0.7120501134381049,1,1,1,0.8822927235727881
35,0.7547169811320755,10000,4,Medium,2022,N/A,F23,1,0.5442219658417744,0.5442219658417744,1,0.5709007198932761,0.5709007198932761,1,0.801118899854733,0.801118899854733,1,0.658259024602338,0.658259024602338,1,0.801118899854733,E,1,0.6793273332341283,1,0.71262919898257,1,1,1,0.8216745663118175
36,0.7547169811320755,10000,4,Medium,2025,1,F47,1,0.26535325198515003,0.26535325198515003,1,0.5377793919860788,0.5377793919860788,1,0.7426908514071572,0.7426908514071572,1,0.5526383238745646,0.5526383238745646,1,0.7426908514071572,E,1,0.35728628066764534,1,0.724095888574852,1,1,1,0.7441027755054408
37,0.7637735849056604,10120,4.00518051250378,Medium,2025,1,F13,1,0.641340562012768,0.641340562012768,1,0.33960738053721007,0.33960738053721007,1,0.6106823322401099,0.6106823322401099,1,0.5380770189989043,0.5380770189989043,1,0.641340562012768,E,1,1,1,0.5295273691584301,1,0.9521966462304504,1,0.8389879743614159
38,0.8301886792452831,11000,4.041392685158225,Medium,2025,1,F33,0.41756520556432813,0.3371705495002536,0.8074680193829289,0.5409234088994526,0.35993834740700914,0.66541462522269,0.6686213068876661,0.605221141584016,0.9051777670700197,0.6215899235849939,0.49723375217790533,0.7999385661050141,0.6686213068876661,0.605221141584016,G,0.6245167500091088,0.5571030592516869,0.8090131189766768,0.5947220324540546,1,1,0.9296591615938828,0.8215736662412677
39,0.8950943396226415,11860,4.074084689028243,Medium,2024,0,F15,0.7412869805427756,0.5030422543637181,0.6786066227621952,0.7807182787653746,0.44856741815653056,0.5745573407937798,0.8519108339895726,0.7532704610247238,0.8842127966574773,0.8272741128762615,0.5968720638609251,0.7214924951364959,0.8519108339895726,0.7532704610247238,G,0.8701462065827525,0.6678109396184158,0.91643191706954,0.5954931745847494,1,1,0.9710806341105733,0.7923741799843849
40,0.9056603773584906,12000,4.079181246047625,Medium,2020,N/A,F41,0.999999999998562,0.5600104224789022,0.5600104224797074,0.9999999999772785,0.6741052352682033,0.67410523528352,1,0.8611732419147379,0.8611732419147379,1,0.7183986497722359,0.7183986497722359,1,0.8611732419147379,G,0.999999999998562,0.6502877646706389,0.9999999999772785,0.7827754073842257,1,1,1,0.8342092099551816
41,0.9056603773584906,12000,4.079181246047625,Medium,2023,1,F24,1,0.7697813970433959,0.7697813970433959,1,0.5997240552331436,0.5997240552331436,1,0.8242335337002946,0.8242335337002946,1,0.7226740598631534,0.7226740598631534,1,0.8242335337002946,E,1,0.9339360333806821,1,0.7276142388198604,1,1,1,0.8767831328322659
42,0.9056603773584906,12000,4.079181246047625,Medium,2025,1,F46,0.544520967127792,0.4321977911295077,0.7937211185994175,0.6100766025032297,0.4281092207649625,0.7017302729007643,0.7538868100561703,0.6831234063070188,0.9061352409868014,0.6854736609795322,0.5562211608861356,0.8114406031171254,0.7538868100561703,0.6831234063070188,G,0.7222847778530851,0.6326789378598211,0.8092416452514594,0.6266938254675403,1,1,0.9092527576234677,0.81423232720582694
43,0.9811320754716981,13000,4.113943352306837,Medium,2021,1,F14,1,0.6238745521840025,0.6238745521840025,1,0.5818544942692517,0.5818544942692517,1,0.766367443512511,0.766367443512511,1,0.6822703926468406,0.6822703926468406,1,0.766367443512511,E,1,0.8140671390274392,1,0.7592369681081748,1,1,1,0.8902653660752782
44,1.0188679245283019,13500,4.1303337684950066,Medium,2025,1,F27,0.8141429643432393,0.7458734874558205,0.91614559128139,0.938328857045842,0.8776544522949166,0.9353378036971518,0.938328857045842,0.9041469171503156,0.9635714710904852,0.9112666285896103,0.8583323897027885,0.9419113602692228,0.938328857045842,0.9041469171503156,L,0.8676520584759809,0.8249472218593188,1,0.9706989380233715,1,1,0.9711591216096324,0.9493284480890284
45,1.0566037735849056,14000,4.146128035678238,Medium,2025,1,F29,0.6013596336614985,0.32831192029280903,0.5459493818928554,0.8200835136761465,0.4016212617600925,0.4897321493024111,0.8031630068682715,0.6733326767188075,0.8383512076138764,0.7628068822592615,0.4851766591928359,0.6360412713580301,0.8200835136761465,0.6733326767188075,L,0.7332907242163842,0.4875924363164635,1,0.5964678020933399,0.9793673369532496,1,0.9301575626607418,0.720560097509499
46,1.1320754716981132,15000,4.176091259055681,Medium,2021,N/A,F43,1,0.6883286571611823,0.6883286571611823,1,0.526994795828441,0.526994795828441,1,0.7745437230625334,0.7745437230625334,1,0.6666565025784995,0.6666565025784995,1,0.7745437230625334,E,1,0.8886892200733897,1,0.6803938630406972,1,1,1,0.8607086762546476
47,1.2075471698113207,16000,4.204119982655925,Medium,2022,1,F28,0.4035777204544957,0.35677573501763105,0.8840322865589364,0.48170008746715187,0.35281180296214837,0.7324304315934079,0.6397343651500228,0.5886148060021585,0.9200925228772472,0.5765806406698,0.49287615510041366,0.8548260561226114,0.6397343651500228,0.5886148060021585,G,0.6308520261528447,0.6061276940021837,0.7529689097664612,0.5993933543031783,1,1,0.9012813318768442,0.837349230896863
